organization_name,company_type,industry,official_domain,source_type,source_url,official_entrypoint_url,admission_evidence,adapter_name,parser_config,is_active
拼多多,private,互联网/科技,pddglobalhr.com,api,https://careers.pddglobalhr.com/campus/grad,,T3 stable source P11; work/phase-02-pinduoduo-title-mapping-correction.json; official page https://careers.pddglobalhr.com/campus/grad; official recruitment page and endpoint were validated,json_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:p11"",""official_page_url"":""https://careers.pddglobalhr.com/campus/grad"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""应届毕业生"",""title"":""拼多多校园招聘""},""body"":{""t"":null},""body_encoding"":""json"",""endpoint"":""https://careers.pddglobalhr.com/api/careers/api/recruit/position/list"",""field_map"":{""location"":""workLocation"",""position_key"":""id"",""title"":""name""},""headers"":{},""list_path"":""result.list"",""method"":""POST"",""pagination"":{""max_pages"":100,""mode"":""page_index"",""page_param"":""page"",""page_size"":10,""size_param"":""pageSize"",""start_page"":1,""total_kind"":""items""},""request_delay_seconds"":1,""row_filters"":[],""stop_on_short_page"":true}",false
理想汽车,private,汽车,lixiang.com,api,https://www.lixiang.com/employ/campus/list.html,,T3 stable source P20; work/phase-02-t3-api-acceptance-cycle-03.json; official page https://www.lixiang.com/employ/campus/list.html; official recruitment page and endpoint were validated,json_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:p20"",""official_page_url"":""https://www.lixiang.com/employ/campus/list.html"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""应届毕业生/实习生"",""title"":""理想汽车校园招聘""},""body_encoding"":""query"",""endpoint"":""https://api-web.lixiang.com/osd-hr-recruitment-website/v1/recruit/school/job-page"",""field_map"":{""location"":""location_title"",""position_key"":""id"",""title"":""title""},""headers"":{},""list_path"":""data.items"",""method"":""GET"",""pagination"":{""max_pages"":100,""mode"":""page_index"",""page_param"":""page"",""page_size"":10,""size_param"":""page_size"",""start_page"":1,""total_kind"":""pages""},""params"":{},""request_delay_seconds"":1,""row_filters"":[],""total_path"":""data.total_pages""}",false
中国中车集团有限公司,state_owned,轨道交通/制造,crrcgc.cc,ats,https://sp.wintalent.cn/CRRC/homeMobile/index.html,https://www.crrcgc.cc/,T3 stable source S08; work/phase-02-t3-api-acceptance-cycle-03.json; official page https://sp.wintalent.cn/CRRC/homeMobile/index.html; official recruitment page and endpoint were validated,ats_json_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:s08"",""official_page_url"":""https://sp.wintalent.cn/CRRC/homeMobile/index.html"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""应届毕业生"",""title"":""中国中车集团有限公司校园招聘""},""body"":{""coordinateLat"":"""",""coordinateLng"":"""",""recruitType"":""1""},""body_encoding"":""form"",""endpoint"":""https://wecruit.hotjob.cn/wecruit/positionInfo/listPosition/SU64d480906202cc36e27a5fd8?iSaJAx=isAjax&request_locale=zh_CN"",""field_map"":{""location"":""workPlaceStr"",""position_key"":""postId"",""title"":""postName""},""headers"":{},""list_path"":""data.pageForm.pageData"",""method"":""POST"",""pagination"":{""max_pages"":100,""mode"":""page_index"",""page_param"":""currentPage"",""page_size"":10,""size_param"":""pageSize"",""start_page"":1,""total_kind"":""pages""},""request_delay_seconds"":1,""row_filters"":[],""total_path"":""data.pageForm.totalPage""}",false
vivo,private,消费电子/科技,vivo.com,api,https://hr-campus.vivo.com/jobs?1=%5B%7B%22id%22%3A%222%22%2C%22label%22%3A%22%E7%A7%8B%E5%AD%A3%E6%A0%A1%E5%9B%AD%E6%8B%9B%E8%81%98%22%7D%5D,,T3 stable source P13; work/phase-02-t3-api-acceptance-cycle-06-beisen.json; official page https://hr-campus.vivo.com/jobs?1=%5B%7B%22id%22%3A%222%22%2C%22label%22%3A%22%E7%A7%8B%E5%AD%A3%E6%A0%A1%E5%9B%AD%E6%8B%9B%E8%81%98%22%7D%5D; official recruitment page and endpoint were validated,json_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:p13"",""official_page_url"":""https://hr-campus.vivo.com/jobs?1=%5B%7B%22id%22%3A%222%22%2C%22label%22%3A%22%E7%A7%8B%E5%AD%A3%E6%A0%A1%E5%9B%AD%E6%8B%9B%E8%81%98%22%7D%5D"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""2027届"",""title"":""vivo校园招聘""},""body"":{""ClassificationOne"":[""2""],""DisplayFields"":[""Category"",""LocId"",""HeadCount"",""WorkWeChatQrCode""],""KeyWords"":"""",""PageIndex"":0,""PageSize"":20,""PortalId"":"""",""SpecialType"":0},""body_encoding"":""json"",""endpoint"":""https://hr-campus.vivo.com/api/Jobad/GetJobAdPageList"",""field_map"":{""location"":""LocNames"",""position_key"":""JobAdId"",""title"":""JobAdName"",""updated_at"":""ChangeDate""},""headers"":{},""list_path"":""Data"",""method"":""POST"",""pagination"":{""max_pages"":100,""mode"":""page_index"",""page_param"":""PageIndex"",""page_size"":20,""size_param"":""PageSize"",""start_page"":0,""total_kind"":""items""},""request_delay_seconds"":1,""row_filters"":[],""success"":{""expect"":200,""path"":""Code""},""total_path"":""Count""}",false
美团,private,互联网/科技,meituan.com,api,https://zhaopin.meituan.com/,,T3 stable source P08; work/phase-02-t3-api-acceptance-cycle-07-meituan.json; official page https://zhaopin.meituan.com/; official recruitment page and endpoint were validated,json_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:p08"",""official_page_url"":""https://zhaopin.meituan.com/"",""published_on"":"""",""recruitment_type"":""internship"",""target_audience"":""实习生"",""title"":""美团实习招聘""},""batch_partitions"":[{""batch"":{""deadline"":"""",""identity_key"":""official-project:meituan:special:6"",""official_page_url"":""https://zhaopin.meituan.com/"",""published_on"":"""",""recruitment_type"":""internship"",""target_audience"":""在校生及实习生"",""title"":""美团日常实习招聘""},""row_filters"":[{""equals_any"":[""6""],""path"":""jobSpecialCode""}]},{""batch"":{""deadline"":"""",""identity_key"":""official-project:meituan:special:8"",""official_page_url"":""https://zhaopin.meituan.com/"",""published_on"":"""",""recruitment_type"":""internship"",""target_audience"":""在校生及实习生"",""title"":""美团 LongCat 实习招聘""},""row_filters"":[{""equals_any"":[""8""],""path"":""jobSpecialCode""}]},{""batch"":{""deadline"":"""",""identity_key"":""official-project:meituan:special:3"",""official_page_url"":""https://zhaopin.meituan.com/"",""published_on"":"""",""recruitment_type"":""internship"",""target_audience"":""在校生及实习生"",""title"":""美团北斗实习招聘""},""row_filters"":[{""equals_any"":[""3""],""path"":""jobSpecialCode""}]}],""body"":{""cityList"":[],""department"":[],""jfJgList"":[],""jobShareType"":""1"",""jobType"":[{""code"":""1"",""subCode"":[]},{""code"":""2"",""subCode"":[]}],""keywords"":"""",""page"":{""pageNo"":2,""pageSize"":10},""r_query_id"":""178780459568670203468"",""specialCode"":[],""typeCode"":[],""u_query_id"":""6dd23e48564efdb3aeabc32093fac65c""},""body_encoding"":""json"",""endpoint"":""https://job.meituan.com/api/official/job/getJobList"",""field_map"":{""location"":""cityList[].name"",""position_key"":""jobUnionId"",""title"":""name""},""headers"":{},""list_path"":""data.list"",""method"":""POST"",""pagination"":{""max_pages"":100,""mode"":""page_index"",""page_param"":""page.pageNo"",""page_size"":10,""size_param"":""page.pageSize"",""start_page"":1,""total_kind"":""pages""},""request_delay_seconds"":1,""row_filters"":[],""total_path"":""data.page.totalPage""}",false
百度,private,互联网/科技,baidu.com,api,https://talent.baidu.com/jobs?recruitType=GRADUATE,,T3 stable source P06; work/phase-02-t3-api-acceptance-cycle-11-public-family.json; official page https://talent.baidu.com/jobs?recruitType=GRADUATE; official recruitment page and endpoint were validated,json_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:p06"",""official_page_url"":""https://talent.baidu.com/jobs?recruitType=GRADUATE"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""应届毕业生"",""title"":""百度校园招聘""},""body"":{""curPage"":""1"",""keyWord"":"""",""pageSize"":""20"",""recruitType"":""GRADUATE""},""body_encoding"":""form"",""endpoint"":""https://talent.baidu.com/httservice/getPostListNew"",""field_map"":{""location"":""workPlace"",""position_key"":""postId"",""title"":""name"",""updated_at"":""updateDate""},""headers"":{""Accept"":""application/json"",""Referer"":""https://talent.baidu.com/jobs?recruitType=GRADUATE""},""list_path"":""data.list"",""method"":""POST"",""pagination"":{""max_pages"":10,""mode"":""page_index"",""page_param"":""curPage"",""page_size"":20,""size_param"":""pageSize"",""start_page"":1,""total_kind"":""items""},""request_delay_seconds"":1,""row_filters"":[],""success"":{""expect"":""ok"",""path"":""status""},""total_path"":""data.total""}",false
京东,private,电商/物流/科技,jd.com,api,https://campus.jd.com/,,T3 stable source P07; work/phase-02-t3-api-acceptance-cycle-11-public-family.json; official page https://campus.jd.com/; official recruitment page and endpoint were validated,json_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:p07"",""official_page_url"":""https://campus.jd.com/"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""应届毕业生"",""title"":""京东校园招聘""},""batch_partitions"":[{""batch"":{""deadline"":"""",""identity_key"":""official-project:jd:plan:56"",""official_page_url"":""https://campus.jd.com/"",""published_on"":"""",""recruitment_type"":""special_program"",""target_audience"":""2026年10月至2027年9月毕业的应届毕业生"",""title"":""京东 JDS-新星计划""},""row_filters"":[{""equals_any"":[56],""path"":""planId""}]},{""batch"":{""deadline"":"""",""identity_key"":""official-project:jd:plan:57"",""official_page_url"":""https://campus.jd.com/"",""published_on"":"""",""recruitment_type"":""special_program"",""target_audience"":""2026年10月至2027年9月毕业的应届毕业生"",""title"":""京东 TET-管理培训生""},""row_filters"":[{""equals_any"":[57],""path"":""planId""}]},{""batch"":{""deadline"":"""",""identity_key"":""official-project:jd:plan:58"",""official_page_url"":""https://campus.jd.com/"",""published_on"":"""",""recruitment_type"":""special_program"",""target_audience"":""2026年10月至2027年9月毕业的应届毕业生"",""title"":""京东 新锐之星""},""row_filters"":[{""equals_any"":[58],""path"":""planId""}]}],""body"":{""pageIndex"":0,""pageSize"":100,""parameter"":{""jobDirectionCodeList"":[],""planIdList"":[],""positionDeptList"":[],""positionName"":"""",""workCityCodeList"":[]}},""body_encoding"":""json"",""endpoint"":""https://campus.jd.com/api/wx/position/page?type=present"",""field_map"":{""location"":""requirementVoList[].workCity"",""position_key"":""publishId"",""title"":""positionName""},""headers"":{""Accept"":""application/json"",""Referer"":""https://campus.jd.com/""},""list_path"":""body.items"",""method"":""POST"",""pagination"":{""max_pages"":5,""mode"":""page_index"",""page_param"":""pageIndex"",""page_size"":100,""size_param"":""pageSize"",""start_page"":0,""total_kind"":""items""},""request_delay_seconds"":1,""row_filters"":[],""success"":{""expect"":true,""path"":""success""},""total_path"":""body.totalNumber""}",false
网易,private,互联网/游戏,163.com,api,https://hr.163.com/job-list.html?workType=1,,T3 stable source P10; work/phase-02-t3-api-acceptance-cycle-11-public-family.json; official page https://hr.163.com/job-list.html?workType=1; official recruitment page and endpoint were validated,json_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:p10"",""official_page_url"":""https://hr.163.com/job-list.html?workType=1"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""应届毕业生"",""title"":""网易校园招聘""},""body"":{""currentPage"":1,""keyword"":"""",""pageSize"":200,""workType"":""1""},""body_encoding"":""json"",""endpoint"":""https://hr.163.com/api/hr163/position/queryPage"",""field_map"":{""location"":""workPlaceNameList[]"",""position_key"":""id"",""title"":""name"",""updated_at"":""updateTime""},""headers"":{""Accept"":""application/json"",""Referer"":""https://hr.163.com/""},""list_path"":""data.list"",""method"":""POST"",""pagination"":{""max_pages"":5,""mode"":""page_index"",""page_param"":""currentPage"",""page_size"":200,""size_param"":""pageSize"",""start_page"":1,""total_kind"":""items""},""request_delay_seconds"":1,""row_filters"":[{""equals_any"":[""1""],""path"":""workType""}],""success"":{""expect"":200,""path"":""code""},""total_path"":""data.total""}",false
顺丰,private,物流/供应链,sf-express.com,api,https://campus.sf-express.com/,,T3 stable source P18; work/phase-02-t3-api-acceptance-cycle-11-public-family.json; official page https://campus.sf-express.com/; official recruitment page and endpoint were validated,json_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:p18"",""official_page_url"":""https://campus.sf-express.com/"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""应届毕业生"",""title"":""顺丰校园招聘""},""body_encoding"":""query"",""endpoint"":""https://campus.sf-express.com/api/web/position/query"",""field_map"":{""location"":""demandCity||recruitCity"",""position_key"":""id"",""title"":""positionName""},""headers"":{""Accept"":""application/json"",""Origin"":""https://campus.sf-express.com"",""Referer"":""https://campus.sf-express.com/"",""cr-service"":""https%3A%2F%2Fcampus.sf-express.com%2F""},""list_path"":""list"",""method"":""GET"",""pagination"":{""max_pages"":5,""mode"":""page_index"",""page_param"":""pageNum"",""page_size"":100,""size_param"":""pageSize"",""start_page"":1,""total_kind"":""items""},""params"":{""pageNum"":1,""pageSize"":100},""request_delay_seconds"":1,""row_filters"":[{""equals_any"":[""1"",""2"",""3""],""path"":""seasonType""}],""total_path"":""total""}",false
OPPO,private,消费电子/科技,oppo.com,api,https://careers.oppo.com/,,T3 stable source P12; work/phase-02-t3-api-acceptance-cycle-12-oppo.json; official page https://careers.oppo.com/; official recruitment page and endpoint were validated,json_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:p12"",""official_page_url"":""https://careers.oppo.com/"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""应届毕业生"",""title"":""OPPO校园招聘""},""body"":{""pageNum"":1,""pageSize"":100,""recruitmentType"":""Graduate""},""body_encoding"":""json"",""endpoint"":""https://careers.oppo.com/openapi/position/pageNew"",""field_map"":{""location"":""workCityName||workCityVOList[].workCityName"",""position_key"":""idRecruitPosition"",""title"":""positionName""},""headers"":{""Accept"":""application/json"",""Origin"":""https://careers.oppo.com"",""Referer"":""https://careers.oppo.com/""},""list_path"":""data.records"",""method"":""POST"",""pagination"":{""max_pages"":5,""mode"":""page_index"",""page_param"":""pageNum"",""page_size"":100,""size_param"":""pageSize"",""start_page"":1,""total_kind"":""items""},""request_delay_seconds"":1,""row_filters"":[{""equals_any"":[""Graduate""],""path"":""recruitmentType""}],""success"":{""expect"":0,""path"":""code""},""total_path"":""data.total""}",false
